participant,participant_gender,search_term,image_url,image_selected,image_gender,image_position,bls_p_women,bls_p_image_gender,search_p_women,synthetic_p_women,quality_rating
b15,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/35.jpg,TRUE,man,4,0.941,0.059,0.873239437,0,very good
b8,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/6.jpg,FALSE,woman,4,0.556,0.556,0.246153846,0.5,good
b3,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/6.jpg,FALSE,woman,4,0.556,0.556,0.246153846,0.75,fair
b5,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/5.jpg,TRUE,woman,4,0.501,0.501,0.353846154,0.375,fair
b4,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/35.jpg,FALSE,man,4,0.941,0.059,0.873239437,0,good
b23,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/3.jpg,FALSE,woman,4,0.814,0.814,0.717948718,1,good
b25,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/4.jpg,FALSE,man,4,0.054,0.946,0.069444444,0.5,very good
b22,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/32.jpg,FALSE,woman,4,0.297,0.297,0.15625,0.875,very poor
b16,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/11.jpg,FALSE,man,4,0.728,0.272,0.651162791,0,good
b3,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,4,0.442,0.442,0.532467532,1,very good
b30,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/5.jpg,FALSE,man,4,0.455,0.545,0.1875,0,good
b21,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/45.jpg,FALSE,woman,4,0.197,0.197,0.148148148,1,very poor
b7,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/55.jpg,TRUE,woman,4,0.041,0.041,0.103896104,0.875,good
b35,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/4.jpg,FALSE,man,4,0.274,0.726,0.112244898,0.5,good
b5,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/4.jpg,FALSE,man,4,0.599,0.401,0.234042553,0,very good
b12,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/3.jpg,FALSE,man,4,0.343,0.657,0.301204819,0.25,good
b4,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/31.jpg,FALSE,man,4,0.678,0.322,0.6875,0,good
b25,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/13.jpg,FALSE,man,4,0.556,0.444,0.246153846,0,fair
b8,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/3.jpg,FALSE,man,4,0.297,0.703,0.15625,0,very good
b17,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/4.jpg,FALSE,man,4,0.274,0.726,0.112244898,0.5,fair
b30,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/35.jpg,FALSE,man,4,0.941,0.059,0.873239437,0,poor
b7,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/18.jpg,FALSE,man,4,0.814,0.186,0.717948718,0,good
b38,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/45.jpg,FALSE,woman,4,0.197,0.197,0.148148148,1,very poor
b9,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/17.jpg,FALSE,woman,4,0.556,0.556,0.246153846,1,very poor
b3,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/35.jpg,FALSE,woman,4,0.297,0.297,0.15625,1,poor
b21,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/6.jpg,FALSE,man,4,0.377,0.623,0.141025641,0,very poor
b5,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/35.jpg,FALSE,woman,4,0.297,0.297,0.15625,1,very poor
b7,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/6.jpg,FALSE,woman,4,0.556,0.556,0.246153846,0.5,fair
b4,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/47.jpg,FALSE,man,4,0.862,0.138,0.779069767,0,fair
b5,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/17.jpg,FALSE,woman,4,0.132,0.132,0.154929577,0.875,very good
b22,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/7.jpg,FALSE,woman,4,0.441,0.441,0.476190476,0.5,good
b36,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/3.jpg,FALSE,man,4,0.078,0.922,0.06779661,0.5,fair
b16,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/6.jpg,FALSE,man,4,0.377,0.623,0.141025641,0.375,very poor
b18,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/19.jpg,FALSE,woman,4,0.343,0.343,0.301204819,1,poor
b7,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/17.jpg,FALSE,woman,4,0.132,0.132,0.154929577,0.875,good
b19,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/56.jpg,FALSE,woman,4,0.041,0.041,0.103896104,1,fair
b36,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/3.jpg,FALSE,woman,4,0.377,0.377,0.287671233,0.625,very good
b22,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/9.jpg,FALSE,woman,4,0.377,0.377,0.287671233,1,fair
b4,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/6.jpg,FALSE,man,4,0.377,0.623,0.141025641,0.5,good
b8,male,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/3.jpg,FALSE,man,4,0.013,0.987,0.047058824,0.5,very good
b13,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/17.jpg,FALSE,man,4,0.814,0.186,0.717948718,0.125,good
b30,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/4.jpg,FALSE,woman,4,0.881,0.881,0.926829268,0.5,good
b21,male,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/4.jpg,FALSE,woman,4,0.881,0.881,0.926829268,0.5,fair
b7,male,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/3.jpg,FALSE,man,4,0.078,0.922,0.06779661,0.5,good
b18,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/4.jpg,TRUE,woman,4,0.881,0.881,0.926829268,0.5,very poor
b38,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/7.jpg,FALSE,woman,4,0.441,0.441,0.476190476,0.5,fair
b4,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/3.jpg,FALSE,woman,4,0.215,0.215,0.241758242,0.25,very good
b12,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/7.jpg,FALSE,woman,4,0.441,0.441,0.476190476,0.5,good
b22,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/3.jpg,TRUE,woman,4,0.215,0.215,0.241758242,0.25,good
b15,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/4.jpg,FALSE,man,4,0.274,0.726,0.112244898,0.125,very good
b8,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/4.jpg,TRUE,man,4,0.274,0.726,0.112244898,0.5,very good
b30,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/18.jpg,TRUE,woman,4,0.132,0.132,0.154929577,1,poor
b6,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/3.jpg,FALSE,man,4,0.537,0.463,0.576923077,0.5,good
b18,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/6.jpg,FALSE,woman,4,0.596,0.596,0.685714286,0.375,fair
b21,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/31.jpg,FALSE,man,4,0.678,0.322,0.6875,0,poor
b12,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/4.jpg,FALSE,man,4,0.225,0.775,0.166666667,0.5,good
b25,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/45.jpg,FALSE,woman,4,0.197,0.197,0.148148148,1,good
b4,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/3.jpg,FALSE,woman,4,0.377,0.377,0.287671233,0.5,very good
b22,male,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/3.jpg,TRUE,man,4,0.078,0.922,0.06779661,0.5,very poor
b8,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/5.jpg,FALSE,woman,4,0.501,0.501,0.353846154,0.375,very good
b30,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/3.jpg,FALSE,man,4,0.297,0.703,0.15625,0.5,very poor
b7,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/3.jpg,FALSE,man,4,0.343,0.657,0.301204819,0.25,very good
b38,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/3.jpg,FALSE,woman,4,0.814,0.814,0.717948718,1,very good
b19,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/6.jpg,FALSE,woman,4,0.596,0.596,0.685714286,0.5,very good
b36,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/4.jpg,TRUE,woman,4,0.503,0.503,0.644444444,0.375,fair
b23,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/26.jpg,FALSE,woman,4,0.197,0.197,0.148148148,0.875,poor
b4,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/3.jpg,FALSE,woman,4,0.814,0.814,0.717948718,0.5,very good
b5,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/9.jpg,FALSE,man,4,0.678,0.322,0.6875,0.75,very good
b22,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/9.jpg,FALSE,man,4,0.678,0.322,0.6875,0.75,very good
b8,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/10.jpg,FALSE,woman,4,0.215,0.215,0.241758242,0.75,very good
b3,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/42.jpg,TRUE,man,4,0.861,0.139,0.846153846,0.125,fair
b30,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/6.jpg,FALSE,woman,4,0.596,0.596,0.685714286,0.625,very good
b38,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/4.jpg,FALSE,man,4,0.377,0.623,0.287671233,0,good
b12,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/11.jpg,FALSE,woman,4,0.678,0.678,0.6875,1,good
b36,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/7.jpg,FALSE,woman,4,0.343,0.343,0.301204819,0.75,good
b5,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/5.jpg,FALSE,man,4,0.126,0.874,0.138888889,0,very good
b26,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/9.jpg,FALSE,man,4,0.503,0.497,0.644444444,0,fair
b25,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/5.jpg,TRUE,man,4,0.029,0.971,0.125,0,very good
b22,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/31.jpg,FALSE,woman,4,0.126,0.126,0.138888889,0.875,good
b14,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/55.jpg,FALSE,woman,4,0.041,0.041,0.103896104,0.875,good
b8,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/47.jpg,FALSE,woman,4,0.377,0.377,0.141025641,0.875,good
b3,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/6.jpg,FALSE,man,4,0.377,0.623,0.141025641,0.5,fair
b30,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/4.jpg,FALSE,man,4,0.185,0.815,0.052631579,0.5,good
b1,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/9.jpg,FALSE,woman,4,0.377,0.377,0.287671233,1,fair
b5,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/6.jpg,FALSE,woman,4,0.556,0.556,0.246153846,0.5,good
b22,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/6.jpg,FALSE,woman,4,0.556,0.556,0.246153846,0.75,very poor
b36,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/31.jpg,FALSE,woman,4,0.126,0.126,0.138888889,0.875,very good
b3,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/32.jpg,FALSE,woman,4,0.126,0.126,0.138888889,1,good
b30,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/5.jpg,FALSE,woman,4,0.501,0.501,0.353846154,0.5,good
b7,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/3.jpg,FALSE,woman,4,0.215,0.215,0.241758242,0.25,very good
b38,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/3.jpg,FALSE,woman,4,0.442,0.442,0.532467532,0.5,good
b22,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/5.jpg,FALSE,man,5,0.274,0.726,0.112244898,0,good
b16,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/5.jpg,FALSE,woman,5,0.862,0.862,0.779069767,1,good
b8,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/19.jpg,FALSE,woman,5,0.236,0.236,0.209302326,0.75,very good
b3,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/4.jpg,FALSE,man,5,0.132,0.868,0.154929577,0.125,good
b30,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/28.jpg,FALSE,man,5,0.861,0.139,0.846153846,0.5,good
b7,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/13.jpg,FALSE,man,5,0.555,0.445,0.35,0,poor
b38,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/5.jpg,FALSE,man,5,0.503,0.497,0.644444444,0.5,fair
b19,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/5.jpg,FALSE,man,5,0.503,0.497,0.644444444,0.375,fair
b36,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/16.jpg,FALSE,man,5,0.728,0.272,0.651162791,0,good
b25,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/16.jpg,FALSE,man,5,0.728,0.272,0.651162791,0,very good
b5,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/16.jpg,FALSE,man,5,0.728,0.272,0.651162791,0,good
b4,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/4.jpg,FALSE,man,5,0.236,0.764,0.209302326,0.25,good
b10,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/75.jpg,FALSE,woman,5,0.455,0.455,0.1875,1,good
b8,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/16.jpg,FALSE,man,5,0.953,0.047,0.923076923,0.5,fair
b3,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/4.jpg,FALSE,man,5,0.537,0.463,0.576923077,0,very good
b30,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/47.jpg,FALSE,man,5,0.862,0.138,0.779069767,0.125,very poor
b6,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/13.jpg,FALSE,man,5,0.555,0.445,0.35,0,fair
b7,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/4.jpg,TRUE,man,5,0.377,0.623,0.287671233,0.375,very good
b38,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/5.jpg,TRUE,man,5,0.274,0.726,0.112244898,0.25,poor
b22,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/4.jpg,FALSE,man,5,0.132,0.868,0.154929577,0,poor
b25,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/4.jpg,FALSE,man,5,0.215,0.785,0.241758242,0.5,very good
b12,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/4.jpg,FALSE,man,5,0.215,0.785,0.241758242,0.5,good
b8,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/5.jpg,FALSE,man,5,0.599,0.401,0.234042553,0,very good
b3,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/9.jpg,FALSE,woman,5,0.078,0.078,0.06779661,0.5,good
b30,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/6.jpg,FALSE,man,5,0.377,0.623,0.287671233,0,good
b18,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/6.jpg,TRUE,man,5,0.225,0.775,0.166666667,0.125,poor
b21,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/6.jpg,TRUE,man,5,0.029,0.971,0.125,0,poor
b7,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/53.jpg,TRUE,woman,5,0.225,0.225,0.166666667,0.875,fair
b38,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/5.jpg,FALSE,woman,5,0.862,0.862,0.779069767,1,fair
b19,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/20.jpg,FALSE,man,5,0.814,0.186,0.717948718,0,good
b25,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/4.jpg,TRUE,man,5,0.537,0.463,0.576923077,0,very good
b32,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/51.jpg,FALSE,man,5,0.861,0.139,0.846153846,0.125,very good
b4,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/8.jpg,FALSE,man,5,0.441,0.559,0.476190476,0.5,very good
b12,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/4.jpg,FALSE,man,5,0.537,0.463,0.576923077,0.375,good
b3,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/53.jpg,FALSE,man,5,0.862,0.138,0.779069767,0,very poor
b30,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/4.jpg,FALSE,man,5,0.343,0.657,0.301204819,0.25,very good
b24,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/6.jpg,FALSE,woman,5,0.132,0.132,0.154929577,0.5,good
b7,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/8.jpg,FALSE,man,5,0.441,0.559,0.476190476,0.5,fair
b19,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/4.jpg,FALSE,man,5,0.132,0.868,0.154929577,0,good
b36,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/4.jpg,FALSE,woman,5,0.862,0.862,0.779069767,0.875,fair
b25,male,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/14.jpg,FALSE,woman,5,0.013,0.013,0.047058824,0.5,very good
b4,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/7.jpg,FALSE,man,5,0.728,0.272,0.651162791,0.375,good
b8,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/5.jpg,FALSE,woman,5,0.377,0.377,0.287671233,0.625,very good
b37,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/4.jpg,FALSE,woman,5,0.814,0.814,0.717948718,1,good
b21,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/4.jpg,FALSE,man,5,0.236,0.764,0.209302326,0.25,poor
b5,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/4.jpg,FALSE,woman,5,0.862,0.862,0.779069767,0.875,fair
b7,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/13.jpg,FALSE,woman,5,0.23,0.23,0.079365079,0.5,poor
b12,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/6.jpg,FALSE,woman,5,0.501,0.501,0.353846154,0.625,fair
b23,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/7.jpg,TRUE,man,5,0.728,0.272,0.651162791,0.375,very good
b25,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/20.jpg,FALSE,man,5,0.678,0.322,0.6875,0.25,very good
b22,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/5.jpg,FALSE,woman,5,0.862,0.862,0.779069767,1,very poor
b4,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/4.jpg,FALSE,man,5,0.197,0.803,0.148148148,0,good
b30,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/16.jpg,FALSE,man,5,0.556,0.444,0.246153846,0,poor
b20,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/5.jpg,FALSE,woman,5,0.377,0.377,0.287671233,0.625,very good
b6,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/18.jpg,FALSE,man,5,0.814,0.186,0.717948718,0.125,fair
b7,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/6.jpg,FALSE,woman,5,0.197,0.197,0.148148148,0.5,fair
b12,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/56.jpg,FALSE,woman,5,0.041,0.041,0.103896104,0.875,very good
b25,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/4.jpg,FALSE,woman,5,0.941,0.941,0.873239437,0.875,very good
b4,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/6.jpg,TRUE,woman,5,0.442,0.442,0.532467532,0.5,very good
b5,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/8.jpg,FALSE,man,5,0.596,0.404,0.685714286,0.375,very good
b36,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/59.jpg,FALSE,woman,5,0.377,0.377,0.141025641,1,fair
b22,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/14.jpg,TRUE,man,5,0.455,0.545,0.1875,0.25,good
b3,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/48.jpg,FALSE,woman,5,0.455,0.455,0.1875,0.75,good
b21,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/4.jpg,FALSE,man,5,0.132,0.868,0.154929577,0,poor
b23,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/22.jpg,FALSE,woman,5,0.215,0.215,0.241758242,1,good
b32,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/15.jpg,FALSE,woman,5,0.537,0.537,0.576923077,1,very good
b12,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/4.jpg,FALSE,woman,5,0.862,0.862,0.779069767,0.5,good
b25,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/12.jpg,FALSE,woman,5,0.442,0.442,0.532467532,1,very good
b8,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/28.jpg,FALSE,man,5,0.861,0.139,0.846153846,0.5,very good
b17,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/7.jpg,FALSE,man,5,0.377,0.623,0.141025641,0.125,fair
b30,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/52.jpg,FALSE,woman,5,0.225,0.225,0.166666667,0.75,good
b7,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/6.jpg,FALSE,woman,5,0.442,0.442,0.532467532,0.5,very good
b38,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/42.jpg,FALSE,woman,5,0.377,0.377,0.141025641,0.625,very poor
b36,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/5.jpg,FALSE,man,5,0.274,0.726,0.112244898,0.125,good
b22,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/4.jpg,FALSE,woman,5,0.814,0.814,0.717948718,0.875,good
b15,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/5.jpg,FALSE,man,5,0.126,0.874,0.138888889,0.125,very good
b8,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/32.jpg,FALSE,woman,5,0.126,0.126,0.138888889,0.875,very good
b3,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/4.jpg,FALSE,woman,5,0.941,0.941,0.873239437,1,good
b17,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/9.jpg,TRUE,woman,5,0.078,0.078,0.06779661,0.5,good
b30,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/10.jpg,TRUE,woman,5,0.503,0.503,0.644444444,1,good
b20,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/6.jpg,FALSE,woman,5,0.132,0.132,0.154929577,0.5,good
b21,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/5.jpg,FALSE,man,5,0.503,0.497,0.644444444,0.5,fair
b36,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/16.jpg,FALSE,man,5,0.953,0.047,0.923076923,0.5,fair
b23,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/10.jpg,FALSE,man,5,0.678,0.322,0.6875,0.625,very good
b26,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/7.jpg,TRUE,man,5,0.377,0.623,0.141025641,0.375,good
b5,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/16.jpg,FALSE,man,5,0.953,0.047,0.923076923,0.5,fair
b4,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/62.jpg,FALSE,woman,5,0.041,0.041,0.103896104,1,very good
b25,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/7.jpg,TRUE,woman,5,0.343,0.343,0.301204819,0.625,very good
