turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a37,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/3.jpg,man,0.225,0.775,0.166666667,neutral,disagree,neutral,agree,agree,disagree,agree,disagree
a59,female,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/6.jpg,man,0.054,0.946,0.069444444,disagree,strongly disagree,strongly disagree,agree,neutral,disagree,neutral,disagree
a142,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/41.jpg,woman,0.599,0.599,0.234042553,strongly agree,agree,strongly agree,agree,agree,strongly disagree,agree,strongly disagree
a74,male,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/6.jpg,man,0.015,0.985,0,neutral,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree
a163,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/13.jpg,man,0.503,0.497,0.644444444,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree
a9,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/5.jpg,woman,0.861,0.861,0.846153846,agree,strongly disagree,neutral,agree,agree,strongly disagree,agree,strongly disagree
a44,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/31.jpg,man,0.678,0.322,0.6875,agree,strongly disagree,disagree,strongly agree,agree,strongly disagree,neutral,strongly disagree
a147,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/9.jpg,woman,0.501,0.501,0.353846154,strongly agree,agree,neutral,strongly agree,strongly agree,strongly disagree,neutral,disagree
a174,male,welder,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/23.jpg,man,0.048,0.952,0.076923077,disagree,agree,disagree,agree,agree,strongly disagree,neutral,strongly disagree
a153,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/71.jpg,man,0.953,0.047,0.923076923,agree,disagree,neutral,agree,agree,strongly disagree,agree,disagree
a40,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/4.jpg,man,0.343,0.657,0.301204819,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly disagree,agree,strongly disagree
a13,female,roofer,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/0.jpg,man,0.015,0.985,0,strongly agree,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly disagree,neutral,strongly disagree
a82,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/35.jpg,woman,0.236,0.236,0.209302326,neutral,disagree,disagree,disagree,neutral,disagree,neutral,agree
a106,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/7.jpg,man,0.555,0.445,0.35,strongly disagree,agree,strongly disagree,disagree,disagree,neutral,strongly disagree,agree
a175,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/12.jpg,woman,0.197,0.197,0.148148148,agree,strongly disagree,strongly disagree,agree,strongly agree,strongly disagree,strongly agree,agree
a37,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/2.jpg,woman,0.029,0.029,0.125,disagree,disagree,neutral,agree,agree,disagree,agree,disagree
