occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
Dental assistants,274000,97.9,9.6,3.6,21.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Medical assistants,429000,93.8,15,3.8,22.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Medical transcriptionists,55000,98.2,7,0.3,4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Pharmacy aides,45000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Veterinary assistants and laboratory animal caretakers,47000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Phlebotomists,119000,80.2,26.5,4.8,15.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Miscellaneous healthcare support occupations, including medical equipment preparers",166000,69,21.9,4,9.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of correctional officers,46000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of police and detectives,112000,15.2,9.2,4.4,10.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of fire fighting and prevention workers,64000,0.5,10.7,0,6.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"First-line supervisors of protective service workers, all other",93000,29.9,17.4,0.4,12.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Firefighters,295000,3.4,7.7,1.1,9.9,FALSE,TRUE,FALSE,firefighter,FALSE,FALSE
Fire inspectors,18000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Bailiffs, correctional officers, and jailers",371000,28,22.7,1.1,18.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Detectives and criminal investigators,160000,24.8,9.8,3.5,10.4,FALSE,TRUE,FALSE,detective,FALSE,FALSE
Fish and game wardens,7000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Parking enforcement workers,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Police and sheriff’s patrol officers,657000,12.6,12.8,3.1,13.8,FALSE,TRUE,FALSE,police officer,FALSE,FALSE
Transit and railroad police,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Animal control workers,11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Private detectives and investigators,103000,44,8,2.2,11.1,FALSE,TRUE,FALSE,private investigator,FALSE,FALSE
Security guards and gaming surveillance officers,903000,18.5,26.6,4.1,15.8,FALSE,TRUE,FALSE,security guard,FALSE,FALSE
Crossing guards,61000,55.3,19.7,1.8,16.1,FALSE,TRUE,FALSE,crossing guard,FALSE,FALSE
Transportation security screeners,25000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Lifeguards and other recreational, and all other protective service workers",162000,52.6,7.8,1.2,9.2,FALSE,TRUE,FALSE,NA,FALSE,FALSE
Chefs and head cooks,403000,21.5,11.9,14.2,18.6,FALSE,TRUE,FALSE,chef,FALSE,FALSE
First-line supervisors of food preparation and serving workers,552000,59.3,13.9,4,17.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cooks,1970000,37.7,16.6,6,31.7,FALSE,TRUE,FALSE,cook,FALSE,FALSE
Food preparation workers,868000,58,12.1,5.7,27.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Bartenders,412000,59.9,5.2,3.5,13.2,FALSE,TRUE,FALSE,bartender,FALSE,FALSE
"Combined food preparation and serving workers, including fast food",343000,64.9,14.1,3.1,18,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Counter attendants, cafeteria, food concession, and coffee shop",233000,70.8,10.9,4.8,16.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Waiters and waitresses,2124000,71.2,7.9,7.1,19.6,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"Food servers, nonrestaurant",217000,64.9,22.2,6.4,20.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Dining room and cafeteria attendants and bartender helpers,359000,43.4,10,5.5,31.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Dishwashers,271000,18.7,12.9,5.5,40.5,FALSE,TRUE,FALSE,dishwasher,FALSE,FALSE
"Hosts and hostesses, restaurant, lounge, and coffee shop",260000,81.5,10.2,5.4,14.8,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"Food preparation and serving related workers, all other",6000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
First-line supervisors of housekeeping and janitorial workers,277000,47.1,16.9,3.3,21.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",281000,7.6,6.6,1.1,19.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Janitors and building cleaners,2205000,29.7,18.4,3.6,30.9,FALSE,TRUE,FALSE,custodian,FALSE,FALSE
Maids and housekeeping cleaners,1457000,88.1,17.2,4.8,43.3,FALSE,TRUE,FALSE,housekeeper,FALSE,FALSE
